"","age","workclass","education.num","marital.status","occupation","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income","workclasscode","marital.statuscode","occupationcode","racecode","sexcode","native.countrycode","incomecode"
"110",47,"Private",13,"Married-civ-spouse","Exec-managerial","White","Male",0,2415,60,"United-States",">50K",3,3,4,5,2,39,2
"111",47,"Self-emp-inc",15,"Married-civ-spouse","Prof-specialty","White","Male",0,2415,45,"United-States",">50K",4,3,10,5,2,39,2
"112",67,"Private",13,"Widowed","Exec-managerial","White","Male",0,2392,40,"United-States",">50K",3,7,4,5,2,39,2
"113",67,"Self-emp-inc",13,"Married-civ-spouse","Exec-managerial","White","Male",0,2392,75,"United-States",">50K",4,3,4,5,2,39,2
"114",72,"Self-emp-not-inc",16,"Married-civ-spouse","Prof-specialty","White","Male",0,2392,25,"United-States",">50K",5,3,10,5,2,39,2
"116",46,"Self-emp-inc",14,"Married-civ-spouse","Exec-managerial","White","Male",0,2392,50,"United-States",">50K",4,3,4,5,2,39,2
"117",78,"Self-emp-inc",13,"Married-civ-spouse","Exec-managerial","White","Male",0,2392,40,"United-States",">50K",4,3,4,5,2,39,2
"118",71,"Self-emp-inc",13,"Married-civ-spouse","Exec-managerial","White","Male",0,2392,60,"United-States",">50K",4,3,4,5,2,39,2
"119",83,"Self-emp-inc",13,"Married-civ-spouse","Exec-managerial","White","Male",0,2392,55,"United-States",">50K",4,3,4,5,2,39,2
"120",68,"Private",14,"Married-civ-spouse","Exec-managerial","White","Male",0,2392,40,"United-States",">50K",3,3,4,5,2,39,2
"121",26,"Private",11,"Married-civ-spouse","Adm-clerical","White","Male",0,2377,45,"United-States","<=50K",3,3,1,5,2,39,1
"122",68,"State-gov",16,"Married-civ-spouse","Prof-specialty","White","Male",0,2377,60,"United-States",">50K",6,3,10,5,2,39,2
"123",49,"Self-emp-inc",9,"Married-civ-spouse","Adm-clerical","White","Female",0,2377,40,"United-States",">50K",4,3,1,5,1,39,2
"124",36,"Private",9,"Married-civ-spouse","Prof-specialty","White","Male",0,2377,60,"United-States","<=50K",3,3,10,5,2,39,1
"125",70,"Self-emp-not-inc",13,"Married-civ-spouse","Craft-repair","White","Male",0,2377,12,"United-States",">50K",5,3,3,5,2,39,2
"126",27,"Private",10,"Married-civ-spouse","Adm-clerical","Black","Female",0,2377,20,"United-States","<=50K",3,3,1,3,1,39,1
"127",35,"Local-gov",10,"Married-civ-spouse","Exec-managerial","White","Male",0,2377,40,"United-States","<=50K",2,3,4,5,2,39,1
"128",23,"Private",9,"Married-civ-spouse","Sales","White","Male",0,2377,40,"United-States","<=50K",3,3,12,5,2,39,1
"129",81,"Private",9,"Married-civ-spouse","Exec-managerial","White","Male",0,2377,26,"United-States",">50K",3,3,4,5,2,39,2
"130",66,"Self-emp-not-inc",16,"Married-civ-spouse","Sales","White","Male",0,2377,25,"United-States",">50K",5,3,12,5,2,39,2
"131",71,"Private",9,"Married-civ-spouse","Exec-managerial","White","Male",0,2377,45,"United-States",">50K",3,3,4,5,2,39,2
"132",68,"Private",10,"Married-civ-spouse","Sales","White","Male",0,2377,55,"United-States",">50K",3,3,12,5,2,39,2
"135",52,"Private",9,"Married-civ-spouse","Sales","Black","Male",0,2377,40,"United-States","<=50K",3,3,12,3,2,39,1
"136",40,"Self-emp-inc",12,"Married-civ-spouse","Craft-repair","White","Male",0,2377,50,"United-States","<=50K",4,3,3,5,2,39,1
"138",21,"Private",10,"Married-civ-spouse","Exec-managerial","White","Male",0,2377,48,"United-States","<=50K",3,3,4,5,2,39,1
"139",35,"Private",9,"Married-civ-spouse","Craft-repair","White","Male",0,2377,40,"United-States","<=50K",3,3,3,5,2,39,1
"140",70,"Self-emp-inc",13,"Married-civ-spouse","Exec-managerial","White","Male",0,2377,50,"United-States",">50K",4,3,4,5,2,39,2
"141",61,"Self-emp-not-inc",9,"Married-civ-spouse","Farming-fishing","White","Male",0,2352,50,"United-States","<=50K",5,3,5,5,2,39,1
"142",65,"Self-emp-inc",9,"Married-civ-spouse","Farming-fishing","White","Male",0,2352,65,"United-States","<=50K",4,3,5,5,2,39,1
"143",46,"Private",3,"Divorced","Craft-repair","White","Female",0,2339,45,"United-States","<=50K",3,1,3,5,1,39,1
"144",26,"Local-gov",13,"Never-married","Prof-specialty","White","Male",0,2339,55,"United-States","<=50K",2,5,10,5,2,39,1
"145",59,"Local-gov",9,"Widowed","Farming-fishing","White","Male",0,2339,40,"United-States","<=50K",2,7,5,5,2,39,1
"146",61,"Private",3,"Never-married","Handlers-cleaners","Black","Male",0,2339,40,"United-States","<=50K",3,5,6,3,2,39,1
"147",60,"State-gov",13,"Divorced","Prof-specialty","White","Female",0,2339,40,"United-States","<=50K",6,1,10,5,1,39,1
"148",49,"Self-emp-inc",10,"Divorced","Exec-managerial","White","Male",0,2339,50,"United-States","<=50K",4,1,4,5,2,39,1
"150",25,"Private",13,"Never-married","Prof-specialty","White","Female",0,2339,35,"United-States","<=50K",3,5,10,5,1,39,1
"152",59,"Local-gov",9,"Separated","Protective-serv","Black","Female",0,2339,40,"United-States","<=50K",2,6,11,3,1,39,1
"153",28,"State-gov",10,"Separated","Exec-managerial","White","Male",0,2339,40,"United-States","<=50K",6,6,4,5,2,39,1
"155",56,"Self-emp-not-inc",14,"Divorced","Sales","White","Female",0,2339,60,"United-States","<=50K",5,1,12,5,1,39,1
"156",41,"Private",9,"Divorced","Craft-repair","White","Male",0,2339,40,"United-States","<=50K",3,1,3,5,2,39,1
"157",42,"Private",9,"Never-married","Adm-clerical","Black","Female",0,2339,40,"Trinadad&Tobago","<=50K",3,5,1,3,1,38,1
"158",28,"Private",15,"Never-married","Prof-specialty","White","Male",0,2339,40,"Canada","<=50K",3,5,10,5,2,2,1
"159",40,"Self-emp-not-inc",15,"Divorced","Other-service","White","Female",0,2339,35,"United-States","<=50K",5,1,8,5,1,39,1
"160",69,"Private",13,"Widowed","Prof-specialty","White","Male",0,2282,40,"United-States",">50K",3,7,10,5,2,39,2
"161",66,"Local-gov",9,"Married-civ-spouse","Craft-repair","White","Male",0,2267,40,"United-States","<=50K",2,3,3,5,2,39,1
"162",69,"Private",3,"Married-civ-spouse","Machine-op-inspct","White","Male",0,2267,40,"United-States","<=50K",3,3,7,5,2,39,1
"163",55,"Local-gov",14,"Married-civ-spouse","Prof-specialty","White","Female",0,2267,40,"United-States","<=50K",2,3,10,5,1,39,1
"164",57,"Federal-gov",9,"Never-married","Adm-clerical","White","Male",0,2258,40,"United-States","<=50K",1,5,1,5,2,39,1
"165",20,"Self-emp-not-inc",10,"Never-married","Farming-fishing","White","Male",0,2258,10,"United-States","<=50K",5,5,5,5,2,39,1
"166",33,"Private",9,"Divorced","Craft-repair","White","Male",0,2258,84,"United-States","<=50K",3,1,3,5,2,39,1
"167",30,"Self-emp-not-inc",10,"Never-married","Sales","Asian-Pac-Islander","Male",0,2258,40,"South","<=50K",5,5,12,2,2,35,1
"168",40,"Private",13,"Never-married","Tech-support","Asian-Pac-Islander","Female",0,2258,48,"Philippines","<=50K",3,5,13,2,1,30,1
"169",38,"Private",10,"Separated","Machine-op-inspct","White","Male",0,2258,55,"United-States",">50K",3,6,7,5,2,39,2
"170",46,"State-gov",12,"Divorced","Adm-clerical","White","Male",0,2258,38,"United-States",">50K",6,1,1,5,2,39,2
"171",29,"Private",13,"Never-married","Exec-managerial","White","Female",0,2258,45,"United-States",">50K",3,5,4,5,1,39,2
"172",57,"Federal-gov",13,"Never-married","Adm-clerical","White","Male",0,2258,40,"United-States","<=50K",1,5,1,5,2,39,1
"173",39,"Private",9,"Never-married","Craft-repair","White","Male",0,2258,42,"United-States",">50K",3,5,3,5,2,39,2
"174",47,"Private",13,"Divorced","Exec-managerial","White","Male",0,2258,40,"United-States",">50K",3,1,4,5,2,39,2
"175",26,"Private",13,"Never-married","Exec-managerial","White","Male",0,2258,45,"United-States",">50K",3,5,4,5,2,39,2
"176",27,"Self-emp-not-inc",9,"Never-married","Craft-repair","White","Male",0,2258,50,"United-States","<=50K",5,5,3,5,2,39,1
"177",23,"Private",13,"Never-married","Prof-specialty","White","Female",0,2258,40,"United-States",">50K",3,5,10,5,1,39,2
"178",34,"Private",14,"Never-married","Prof-specialty","White","Male",0,2258,50,"United-States","<=50K",3,5,10,5,2,39,1
"179",33,"Private",8,"Divorced","Craft-repair","White","Male",0,2258,42,"United-States","<=50K",3,1,3,5,2,39,1
"180",38,"Local-gov",14,"Never-married","Prof-specialty","White","Female",0,2258,60,"United-States","<=50K",2,5,10,5,1,39,1
"181",57,"Private",10,"Widowed","Adm-clerical","White","Female",0,2258,38,"United-States",">50K",3,7,1,5,1,39,2
"182",36,"Private",9,"Never-married","Exec-managerial","White","Male",0,2258,70,"United-States","<=50K",3,5,4,5,2,39,1
"183",44,"Federal-gov",13,"Divorced","Tech-support","White","Male",0,2258,40,"United-States",">50K",1,1,13,5,2,39,2
"184",49,"State-gov",16,"Never-married","Exec-managerial","White","Female",0,2258,50,"United-States",">50K",6,5,4,5,1,39,2
"185",44,"Self-emp-inc",10,"Never-married","Sales","White","Male",0,2258,60,"United-States","<=50K",4,5,12,5,2,39,1
"186",55,"Private",10,"Widowed","Farming-fishing","White","Male",0,2258,62,"United-States",">50K",3,7,5,5,2,39,2
"187",45,"Private",9,"Divorced","Farming-fishing","White","Male",0,2258,44,"United-States",">50K",3,1,5,5,2,39,2
"188",48,"Private",9,"Divorced","Exec-managerial","White","Female",0,2258,40,"United-States",">50K",3,1,4,5,1,39,2
"189",31,"Private",13,"Married-civ-spouse","Exec-managerial","White","Male",0,2246,45,"United-States",">50K",3,3,4,5,2,39,2
"190",55,"Local-gov",9,"Married-civ-spouse","Prof-specialty","White","Female",0,2246,40,"United-States",">50K",2,3,10,5,1,39,2
"191",70,"Self-emp-not-inc",10,"Married-civ-spouse","Exec-managerial","White","Male",0,2246,40,"United-States",">50K",5,3,4,5,2,39,2
"192",70,"Self-emp-not-inc",14,"Married-civ-spouse","Exec-managerial","White","Male",0,2246,8,"United-States",">50K",5,3,4,5,2,39,2
"193",73,"Private",13,"Married-civ-spouse","Prof-specialty","White","Male",0,2246,40,"United-States",">50K",3,3,10,5,2,39,2
"194",72,"Self-emp-not-inc",15,"Married-civ-spouse","Prof-specialty","White","Male",0,2246,28,"United-States",">50K",5,3,10,5,2,39,2
"195",31,"Private",9,"Separated","Machine-op-inspct","White","Female",0,2238,40,"United-States","<=50K",3,6,7,5,1,39,1
"196",28,"Private",6,"Widowed","Adm-clerical","White","Female",0,2238,35,"United-States","<=50K",3,7,1,5,1,39,1
"197",23,"Self-emp-not-inc",13,"Never-married","Adm-clerical","White","Male",0,2231,40,"United-States",">50K",5,5,1,5,2,39,2
"198",49,"Local-gov",5,"Widowed","Handlers-cleaners","White","Male",0,2231,40,"United-States",">50K",2,7,6,5,2,39,2
"199",27,"Local-gov",10,"Never-married","Protective-serv","White","Male",0,2231,40,"United-States",">50K",2,5,11,5,2,39,2
"200",90,"Private",9,"Never-married","Other-service","Black","Male",0,2206,40,"United-States","<=50K",3,5,8,3,2,39,1
"201",68,"Private",9,"Widowed","Adm-clerical","White","Female",0,2206,30,"United-States","<=50K",3,7,1,5,1,39,1
"202",65,"Private",9,"Divorced","Adm-clerical","White","Female",0,2206,59,"Canada","<=50K",3,1,1,5,1,2,1
"204",67,"Private",13,"Divorced","Exec-managerial","White","Female",0,2206,5,"United-States","<=50K",3,1,4,5,1,39,1
"205",66,"Local-gov",13,"Widowed","Prof-specialty","Black","Female",0,2206,25,"United-States","<=50K",2,7,10,3,1,39,1
"206",24,"Private",10,"Never-married","Adm-clerical","White","Male",0,2205,24,"United-States","<=50K",3,5,1,5,2,39,1
"207",44,"Self-emp-not-inc",10,"Divorced","Machine-op-inspct","White","Male",0,2205,35,"United-States","<=50K",5,1,7,5,2,39,1
"208",35,"Private",10,"Never-married","Adm-clerical","White","Female",0,2205,40,"United-States","<=50K",3,5,1,5,1,39,1
"209",20,"Private",12,"Never-married","Other-service","White","Female",0,2205,18,"United-States","<=50K",3,5,8,5,1,39,1
"210",38,"Private",9,"Divorced","Craft-repair","White","Male",0,2205,40,"United-States","<=50K",3,1,3,5,2,39,1
"211",39,"Private",10,"Never-married","Other-service","Black","Female",0,2205,40,"United-States","<=50K",3,5,8,3,1,39,1
"212",32,"Private",10,"Never-married","Machine-op-inspct","White","Female",0,2205,40,"Holand-Netherlands","<=50K",3,5,7,5,1,15,1
"213",42,"Private",4,"Never-married","Handlers-cleaners","Black","Male",0,2205,40,"United-States","<=50K",3,5,6,3,2,39,1
"215",42,"Self-emp-inc",14,"Divorced","Exec-managerial","Asian-Pac-Islander","Male",0,2201,60,"India",">50K",4,1,4,2,2,19,2
"216",64,"Private",7,"Married-civ-spouse","Craft-repair","White","Male",0,2179,40,"United-States","<=50K",3,3,3,5,2,39,1
"217",28,"Private",4,"Married-civ-spouse","Handlers-cleaners","Other","Male",0,2179,40,"Puerto-Rico","<=50K",3,3,6,4,2,33,1
"218",41,"Self-emp-inc",11,"Married-civ-spouse","Sales","Other","Male",0,2179,84,"Mexico","<=50K",4,3,12,4,2,26,1
"219",41,"Self-emp-not-inc",4,"Married-civ-spouse","Craft-repair","White","Male",0,2179,40,"United-States","<=50K",5,3,3,5,2,39,1
"220",58,"Self-emp-not-inc",2,"Married-civ-spouse","Transport-moving","White","Male",0,2179,18,"United-States","<=50K",5,3,14,5,2,39,1
"221",59,"State-gov",10,"Married-civ-spouse","Exec-managerial","White","Male",0,2179,40,"United-States","<=50K",6,3,4,5,2,39,1
"222",34,"Self-emp-not-inc",9,"Married-civ-spouse","Farming-fishing","White","Female",0,2179,12,"United-States","<=50K",5,3,5,5,1,39,1
"223",45,"Private",9,"Married-civ-spouse","Transport-moving","White","Male",0,2179,45,"United-States","<=50K",3,3,14,5,2,39,1
"224",29,"Private",9,"Married-civ-spouse","Adm-clerical","White","Female",0,2179,40,"United-States","<=50K",3,3,1,5,1,39,1
"225",47,"Private",6,"Married-civ-spouse","Sales","White","Male",0,2179,52,"United-States","<=50K",3,3,12,5,2,39,1
"226",40,"Private",10,"Married-civ-spouse","Machine-op-inspct","White","Male",0,2179,40,"United-States","<=50K",3,3,7,5,2,39,1
"227",47,"Self-emp-not-inc",3,"Married-civ-spouse","Sales","White","Male",0,2179,50,"Mexico","<=50K",5,3,12,5,2,26,1
"229",41,"Self-emp-not-inc",9,"Married-civ-spouse","Handlers-cleaners","White","Male",0,2179,40,"United-States","<=50K",5,3,6,5,2,39,1
"230",34,"Private",10,"Married-civ-spouse","Transport-moving","Black","Male",0,2179,40,"United-States","<=50K",3,3,14,3,2,39,1
"232",65,"Self-emp-not-inc",10,"Married-civ-spouse","Exec-managerial","White","Male",0,2174,10,"United-States",">50K",5,3,4,5,2,39,2
"233",70,"Private",9,"Married-civ-spouse","Handlers-cleaners","White","Male",0,2174,40,"United-States",">50K",3,3,6,5,2,39,2
"234",75,"Self-emp-not-inc",15,"Married-civ-spouse","Prof-specialty","White","Male",0,2174,50,"United-States",">50K",5,3,10,5,2,39,2
"235",65,"State-gov",9,"Married-civ-spouse","Adm-clerical","White","Male",0,2174,40,"United-States",">50K",6,3,1,5,2,39,2
